,Title,Cluster,new_pca_cluster,new_ump_cluster
0,digital media manager,Marketing,Product Management,Leadership
1,founder and sensory principal and product research contract scientist,Other,Leadership,IT Engineering
2,marketing,Marketing,Data Analytics,Data Analytics
3,"director, revenue marketing and operation",Marketing,Data Analytics,IT Engineering
4,"director, digital development",Marketing,Data Analytics,IT Engineering
5,marketing strategist,Marketing,Data Analytics,Data Analytics
6,"associate manager, creative services",Other,Product Management,Leadership
7,marketing executive,Marketing,Data Analytics,Leadership
8,digital coordinator marketing,Marketing,Data Analytics,Data Analytics
9,"vice president, product marketing",Marketing,Leadership,Marketing
10,"manager, marketing",Marketing,Product Management,Leadership
11,chief digital officer,Marketing,Leadership,Marketing
12,account supervisor,Other,Leadership,Leadership
13,manager marketing,Marketing,Product Management,Leadership
14,manager-marketing,Marketing,Product Management,Leadership
15,digital crm specialist,Marketing,Leadership,Data Analytics
16,digital director marketing,Marketing,Data Analytics,IT Engineering
17,"director, digital guest experience s.e.a.",Marketing,Data Analytics,IT Engineering
18,"vice president, private brands",Marketing,Leadership,Marketing
19,marketing innovation leader,Marketing,Data Analytics,Data Analytics
20,"director, marketing operations",Marketing,Data Analytics,IT Engineering
21,"vice president, marketing",Marketing,Leadership,Marketing
22,position in product marketing lead,Marketing,Data Analytics,Data Analytics
23,position in social media development,Marketing,Leadership,Data Analytics
24,graduate research assistant,Other,Leadership,Leadership
25,chief officer marketing,Marketing,Leadership,Marketing
26,qantas and jetstar media digital director sales,Marketing,Data Analytics,IT Engineering
27,marketing specialist,Marketing,Data Analytics,Data Analytics
28,"director, business development and marketing",Marketing,Data Analytics,IT Engineering
29,seo,Marketing,Leadership,IT Engineering
30,marketing expert,Marketing,Data Analytics,Data Analytics
31,senior account manager,Other,Product Management,Leadership
32,"senior manager, inside sales and marketing",Marketing,Product Management,Leadership
33,associate researcher,Other,Leadership,IT Engineering
34,marketing assistant and manager,Marketing,Product Management,Leadership
35,marketing programs manager,Marketing,Product Management,Leadership
36,"director, marketing",Marketing,Data Analytics,IT Engineering
37,research manager,Other,Product Management,Leadership
38,"director, marketing and branding",Marketing,Data Analytics,IT Engineering
39,digital transformer / consultant,Other,Leadership,Data Analytics
40,director marketing,Marketing,Data Analytics,IT Engineering
41,"director, marketing ops and demand gen",Marketing,Data Analytics,IT Engineering
42,marketing assistant,Marketing,Data Analytics,Leadership
43,demand generation manager,Marketing,Product Management,Leadership
44,directeur de clientèle digital,Marketing,Leadership,Data Analytics
45,"senior manager, marketing services",Marketing,Product Management,Leadership
46,vice president marketing,Marketing,Leadership,Marketing
47,market research manager,Marketing,Product Management,Leadership
48,account manager,Other,Product Management,Leadership
49,assistant marketing communications manager,Marketing,Product Management,Leadership
50,"senior manager, marketing and communications",Marketing,Product Management,Leadership
51,marketing manager,Marketing,Product Management,Leadership
52,major account manager,Other,Product Management,Leadership
53,senior manager marketing,Marketing,Product Management,Leadership
54,head of ecommerce,Other,Leadership,Data Analytics
55,marketing consultant,Marketing,Data Analytics,Data Analytics
56,"director, accounts and strategist",Other,Data Analytics,IT Engineering
57,retention lead,Other,Leadership,IT Engineering
58,senior manager global marketing,Marketing,Product Management,Leadership
59,head of digital,Marketing,Leadership,Data Analytics
60,ecommerce manager,Other,Product Management,Leadership
61,client account manager,Other,Product Management,Leadership
62,global marketing strategist,Marketing,Data Analytics,Data Analytics
63,managing marketing and advertising partner,Marketing,Data Analytics,Data Analytics
64,account director,Other,Data Analytics,IT Engineering
65,of brand content brand project manager (jordan),Marketing,Product Management,Leadership
66,"vice president, marketing and sales",Marketing,Leadership,Marketing
67,"director, marketing and category development",Marketing,Data Analytics,IT Engineering
68,marketing senior manager,Marketing,Product Management,Leadership
69,"assistant director, cluster of marketing",Marketing,Data Analytics,IT Engineering
70,"senior manager, seo",Marketing,Product Management,Leadership
71,digital marketeer chief,Marketing,Leadership,Data Analytics
72,head of marketing,Marketing,Data Analytics,Data Analytics
73,account executive,Other,Leadership,Leadership
74,senior strategic account executive,Other,Leadership,Leadership
75,agile engagement manager,Marketing,Product Management,Leadership
76,head of digital channels,Marketing,Leadership,Data Analytics
77,statistical research specialist,Other,Leadership,Data Analytics
78,"director, product management, research metrics",Other,Data Analytics,IT Engineering
79,researcher at university of alicante,Other,Leadership,IT Engineering
80,performance manager marketing,Marketing,Product Management,Leadership
81,digital experience manager,Marketing,Product Management,Leadership
82,coordinator marketing,Marketing,Data Analytics,Data Analytics
83,digital marketing,Marketing,Data Analytics,Data Analytics
84,cco,Other,Leadership,IT Engineering
85,principal researcher,Other,Leadership,IT Engineering
86,officer marketing,Marketing,Leadership,Data Analytics
87,social media coordinator,Marketing,Leadership,Data Analytics
88,sales and manager marketing,Marketing,Product Management,Leadership
89,creative director,Marketing,Data Analytics,IT Engineering
90,digital leadership graduate,Other,Leadership,Data Analytics
91,director sales ops and customer engagement,Marketing,Data Analytics,IT Engineering
92,global social media manager,Marketing,Product Management,Leadership
93,senior account executive,Other,Leadership,Leadership
94,product manager marketing,Marketing,Product Management,Leadership
95,senior vice president/director marketing,Marketing,Leadership,Marketing
96,"director, marketing and public relations",Marketing,Data Analytics,IT Engineering
97,marketing service manager,Marketing,Product Management,Leadership
98,"director, marketing, north america",Marketing,Data Analytics,IT Engineering
99,"director, strategic accounts",Other,Data Analytics,IT Engineering
100,senior financial and operations business analyst,Data Analytics,Leadership,Data Analytics
101,air import coordinator,Other,Leadership,Data Analytics
102,senior business system analyst,Data Analytics,Leadership,Data Analytics
103,retailer success manager,Other,Product Management,Leadership
104,fundraising and communications compliance manager,Marketing,Product Management,Leadership
105,chairman of the governing board,Other,Leadership,IT Engineering
106,intuition consulting,Other,Leadership,IT Engineering
107,campaign manager marketing,Marketing,Product Management,Leadership
108,advanced analytics,Data Analytics,Leadership,IT Engineering
109,technical trainer,Other,Leadership,IT Engineering
110,analytics project manager,Data Analytics,Product Management,Leadership
111,business analyst,Data Analytics,Leadership,Data Analytics
112,billing coordinator,Other,Leadership,Data Analytics
113,business analytics practice lead,Data Analytics,Leadership,IT Engineering
114,financial analyst,Data Analytics,Leadership,Data Analytics
115,fraud analyst,Data Analytics,Leadership,Data Analytics
116,manager-business intelligence,Data Analytics,Product Management,Leadership
117,"vice president, data analytics",Data Analytics,Leadership,Marketing
118,business intelligence analyst,Data Analytics,Leadership,Product Management
119,head of business intelligence,Data Analytics,Leadership,Product Management
120,head of performance and analytics,Data Analytics,Leadership,IT Engineering
121,management trainee,Other,Leadership,IT Engineering
122,mail manager,Other,Product Management,Leadership
123,data analyst,Data Analytics,Leadership,Data Analytics
124,"project manager, and product development, analytics",Data Analytics,Product Management,Leadership
125,analyst,Data Analytics,Leadership,Data Analytics
126,analytics and insight,Data Analytics,Leadership,IT Engineering
127,data protection officer,Other,Leadership,Data Analytics
128,"igital analytics, ecommerce and web consultant marketing",Marketing,Data Analytics,Data Analytics
129,head of marketing intelligence,Marketing,Data Analytics,Data Analytics
130,senior data analytics manager,Data Analytics,Product Management,Leadership
131,data engineer,Data Analytics,Leadership,Data Analytics
132,senior market analyst,Data Analytics,Leadership,Data Analytics
133,data and digital marketing specialist,Marketing,Data Analytics,Data Analytics
134,data wizard,Data Analytics,Leadership,Data Analytics
135,senior database developer,IT Engineering,Leadership,IT Engineering
136,operations analyst,Other,Leadership,Data Analytics
137,senior analyst,Data Analytics,Leadership,Data Analytics
138,privacy analyst,Data Analytics,Leadership,Data Analytics
139,digital business analyst,Marketing,Leadership,Data Analytics
140,"director, data architecture and engineering",IT Engineering,Data Analytics,IT Engineering
141,director analytics,Data Analytics,Data Analytics,IT Engineering
142,"general manager, service retail",Other,Product Management,Leadership
143,founder & chairman,Other,Leadership,IT Engineering
144,data analytics architect,Data Analytics,Leadership,Data Analytics
145,data protectionist,Data Analytics,Leadership,Data Analytics
146,business intelligence specialist,Data Analytics,Leadership,Product Management
147,analytics manager/professional,Data Analytics,Product Management,Leadership
148,personal trainer,Other,Leadership,IT Engineering
149,product marketing data analyst,Marketing,Data Analytics,Data Analytics
150,analytics manager,Data Analytics,Product Management,Leadership
151,data engineer & product manager,IT Engineering,Product Management,Leadership
152,analytics,Data Analytics,Leadership,IT Engineering
153,digital analytics lead,Marketing,Leadership,IT Engineering
154,data scientist,Data Analytics,Leadership,Data Analytics
155,manager business development-analytics,Data Analytics,Product Management,Leadership
156,systems analyst,IT Engineering,Leadership,Data Analytics
